Encoded_feature,Source_variable,Mean_abs_SHAP
dhps_436[S]=S,dhps_436[S],0.042300075
"dhps_436[S]=S,A",dhps_436[S],0.0
dhps_437[G]=-,dhps_437[G],0.0
dhps_437[G]=A,dhps_437[G],0.005117002
"dhps_437[G]=A,G",dhps_437[G],0.0
dhps_437[G]=G,dhps_437[G],0.0
"dhps_437[G]=G,A",dhps_437[G],0.0
dhps_540[K]=-,dhps_540[K],0.0
dhps_540[K]=E,dhps_540[K],0.039627783
"dhps_540[K]=E,K",dhps_540[K],0.0
"dhps_540[K]=E,N",dhps_540[K],0.0001872307
"dhps_540[K]=E,N*",dhps_540[K],0.0
dhps_540[K]=K,dhps_540[K],0.3279495
"dhps_540[K]=K,D*",dhps_540[K],0.0
"dhps_540[K]=K,E",dhps_540[K],0.0
"dhps_540[K]=K,N",dhps_540[K],0.0
"dhps_540[K]=K,Y",dhps_540[K],0.0
dhps_540[K]=N,dhps_540[K],0.12383504
"dhps_540[K]=N,E",dhps_540[K],0.0
"dhps_540[K]=N,E*",dhps_540[K],0.0
"dhps_540[K]=N,K",dhps_540[K],0.0054694978
dhps_540[K]=Y,dhps_540[K],0.0
"dhps_540[K]=Y,K",dhps_540[K],0.0
dhps_581[A]=-,dhps_581[A],0.0
dhps_581[A]=A,dhps_581[A],0.0521573
"dhps_581[A]=A,G",dhps_581[A],0.00024426443
dhps_581[A]=G,dhps_581[A],0.024923097
"dhps_581[A]=G,A",dhps_581[A],0.0
"dhps_581[A]=G,G",dhps_581[A],0.0
dhps_613[A]=-,dhps_613[A],0.0
dhps_613[A]=A,dhps_613[A],0.0029279334
"dhps_613[A]=A,S",dhps_613[A],0.0
"dhps_613[A]=A,T",dhps_613[A],0.0
dhps_613[A]=S,dhps_613[A],0.012428795
"dhps_613[A]=S,A",dhps_613[A],0.0
dhps_613[A]=T,dhps_613[A],0.003805877
"dhps_613[A]=T,A",dhps_613[A],0.0
exo_415[E]=-,exo_415[E],0.0
exo_415[E]=E,exo_415[E],0.20076351
"exo_415[E]=E,G",exo_415[E],0.0
exo_415[E]=G,exo_415[E],1.0053442
"exo_415[E]=G,E",exo_415[E],0.0003361246
mdr1_86[N]=-,mdr1_86[N],0.0013356738
mdr1_86[N]=N,mdr1_86[N],0.0018249751
"mdr1_86[N]=N,Y",mdr1_86[N],0.0
mdr1_86[N]=Y,mdr1_86[N],0.0060782246
"mdr1_86[N]=Y,N",mdr1_86[N],0.0
mdr1_184[Y]=-,mdr1_184[Y],0.0007253999
mdr1_184[Y]=F,mdr1_184[Y],0.29947832
"mdr1_184[Y]=F,Y",mdr1_184[Y],0.00093310326
mdr1_184[Y]=Y,mdr1_184[Y],0.08594273
"mdr1_184[Y]=Y,F",mdr1_184[Y],0.0027258242
mdr1_1034[S]=-,mdr1_1034[S],0.0018447415
mdr1_1034[S]=C,mdr1_1034[S],0.0
"mdr1_1034[S]=C,S",mdr1_1034[S],0.0
mdr1_1034[S]=I,mdr1_1034[S],0.0
"mdr1_1034[S]=I,S",mdr1_1034[S],0.0
mdr1_1034[S]=S,mdr1_1034[S],0.002451082
"mdr1_1034[S]=S,C",mdr1_1034[S],0.0
mdr1_1042[N]=-,mdr1_1042[N],0.00045760509
mdr1_1042[N]=D,mdr1_1042[N],0.0014288632
"mdr1_1042[N]=D,N",mdr1_1042[N],0.0
mdr1_1042[N]=N,mdr1_1042[N],0.0
"mdr1_1042[N]=N,D",mdr1_1042[N],0.0
mdr1_1226[F]=-,mdr1_1226[F],0.0
mdr1_1226[F]=F,mdr1_1226[F],0.018241383
"mdr1_1226[F]=F,Y",mdr1_1226[F],0.0
mdr1_1226[F]=Y,mdr1_1226[F],0.038282447
"mdr1_1226[F]=Y,F",mdr1_1226[F],0.0010752265
mdr1_1246[D]=-,mdr1_1246[D],0.00025920896
mdr1_1246[D]=D,mdr1_1246[D],0.0
mdr1_1246[D]=Y,mdr1_1246[D],0.0
arps10_127-128[VD]=-,arps10_127-128[VD],0.0022862186
arps10_127-128[VD]=MH,arps10_127-128[VD],0.45795602
"arps10_127-128[VD]=MH,VD",arps10_127-128[VD],0.0
"arps10_127-128[VD]=MH,VH",arps10_127-128[VD],0.0
"arps10_127-128[VD]=MH,VY*",arps10_127-128[VD],0.0
arps10_127-128[VD]=VD,arps10_127-128[VD],0.12585583
"arps10_127-128[VD]=VD,MH",arps10_127-128[VD],0.0004122456
"arps10_127-128[VD]=VD,VY",arps10_127-128[VD],0.0
arps10_127-128[VD]=VH,arps10_127-128[VD],0.002348535
"arps10_127-128[VD]=VH,MH",arps10_127-128[VD],0.0
"arps10_127-128[VD]=VH,VD",arps10_127-128[VD],0.0
"arps10_127-128[VD]=VH,VY",arps10_127-128[VD],0.0
arps10_127-128[VD]=VY,arps10_127-128[VD],0.0052433405
"arps10_127-128[VD]=VY,MH*",arps10_127-128[VD],0.0
"arps10_127-128[VD]=VY,VD",arps10_127-128[VD],0.0
"arps10_127-128[VD]=VY,VH",arps10_127-128[VD],0.0
fd_193[D]=-,fd_193[D],0.0
fd_193[D]=D,fd_193[D],0.11870805
"fd_193[D]=D,Y",fd_193[D],0.00039678314
fd_193[D]=Y,fd_193[D],0.17613938
"fd_193[D]=Y,",fd_193[D],0.0
"fd_193[D]=Y,D",fd_193[D],0.00040748375
mdr2_484[T]=-,mdr2_484[T],0.0
mdr2_484[T]=I,mdr2_484[T],0.20666486
"mdr2_484[T]=I,T",mdr2_484[T],8.6365144e-05
mdr2_484[T]=T,mdr2_484[T],0.017403873
"mdr2_484[T]=T,I",mdr2_484[T],0.0
mdr1_dup_call=-1,mdr1_dup_call,0.0016740699
mdr1_dup_call=0,mdr1_dup_call,0.045912962
mdr1_dup_call=1,mdr1_dup_call,0.05373849
pm2_dup_call=-1,pm2_dup_call,0.012565848
pm2_dup_call=0,pm2_dup_call,0.124367215
pm2_dup_call=1,pm2_dup_call,0.0018591054
